Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,sasha_er,0,0,0
bardak65,0,0,0,hmualem,0,0,0
Nissimb,0,0,0,Efi,0,0,0
Moriarty,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,0,0,0,Avshalom,0,0,0
YKwin,0,0,0,Tezka11,0,0,0
nadavd,0,0,0,ys,0,0,0
gidio,0,0,0,Hummus,0,0,0
YossiEliezer23,0,0,0,mirob,0,0,0
Aviv,0,0,0,fridlich,0,0,0
MarcelDana,0,0,0,GS18671,0,0,0
OvedBenZeev,0,0,0,Rahamimeli,0,0,0
Emergi,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,bardak65,0,0,0
Nissimb,0,0,0,sasha_er,0,0,0
Moriarty,0,0,0,hmualem,0,0,0
GuyEliyahu,0,0,0,Efi,0,0,0
YKwin,0,0,0,UziMutsafy,0,0,0
nadavd,0,0,0,Avshalom,0,0,0
gidio,0,0,0,Tezka11,0,0,0
YossiEliezer23,0,0,0,ys,0,0,0
Aviv,0,0,0,Hummus,0,0,0
MarcelDana,0,0,0,mirob,0,0,0
OvedBenZeev,0,0,0,fridlich,0,0,0
Emergi,0,0,0,GS18671,0,0,0
Bye,0,0,7,Rahamimeli,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Nissimb,0,0,0
Moriarty,0,0,0,bardak65,0,0,0
GuyEliyahu,5.72,2.35,7,sasha_er,14.39,-0.59,0
YKwin,0,0,0,hmualem,0,0,0
nadavd,0,0,0,Efi,0,0,0
gidio,0,0,0,UziMutsafy,0,0,0
YossiEliezer23,0,0,0,Avshalom,0,0,0
Aviv,0,0,0,Tezka11,0,0,0
MarcelDana,0,0,0,ys,0,0,0
OvedBenZeev,0,0,0,Hummus,0,0,0
Emergi,0,0,0,mirob,0,0,0
Bye,0,0,7,fridlich,0,0,0
Rahamimeli,0,0,0,GS18671,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,Moriarty,0,0,0
GuyEliyahu,3.29,2.43,7,Nissimb,2.87,0.83,5
YKwin,0,0,0,bardak65,0,0,0
nadavd,0,0,0,sasha_er,0,0,0
gidio,0,0,0,hmualem,0,0,0
YossiEliezer23,4.65,-0.66,7,Efi,12.31,-3.86,6
Aviv,0,0,0,UziMutsafy,0,0,0
MarcelDana,0,0,0,Avshalom,0,0,0
OvedBenZeev,0,0,0,Tezka11,0,0,0
Emergi,0,0,0,ys,0,0,0
Bye,0,0,7,Hummus,0,0,0
Rahamimeli,0,0,0,mirob,0,0,0
GS18671,0,0,0,fridlich,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,GuyEliyahu,0,0,0
YKwin,0,0,0,Moriarty,0,0,0
nadavd,0,0,0,Nissimb,0,0,0
gidio,0,0,0,bardak65,0,0,0
YossiEliezer23,0,0,0,sasha_er,0,0,0
Aviv,0,0,0,hmualem,0,0,0
MarcelDana,8.78,1.39,7,Efi,15.33,-2.74,2
OvedBenZeev,0,0,0,UziMutsafy,0,0,0
Emergi,0,0,0,Avshalom,0,0,0
Bye,0,0,7,Tezka11,0,0,0
Rahamimeli,0,0,0,ys,0,0,0
GS18671,0,0,0,Hummus,0,0,0
fridlich,0,0,0,mirob,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,YKwin,0,0,0
nadavd,0,0,0,GuyEliyahu,0,0,0
gidio,0,0,0,Moriarty,0,0,0
YossiEliezer23,6.12,2.99,7,Nissimb,4.58,-0.47,1
Aviv,0,0,0,bardak65,0,0,0
MarcelDana,0,0,0,sasha_er,0,0,0
OvedBenZeev,0,0,0,hmualem,0,0,0
Emergi,0,0,0,Efi,0,0,0
Bye,0,0,7,UziMutsafy,0,0,0
Rahamimeli,0,0,0,Avshalom,0,0,0
GS18671,14.14,0.1,7,Tezka11,10.37,-0.81,6
fridlich,0,0,0,ys,0,0,0
mirob,0,0,0,Hummus,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,nadavd,0,0,0
gidio,0,0,0,YKwin,0,0,0
YossiEliezer23,5.6,-0.17,2,GuyEliyahu,2.84,1.85,7
Aviv,0,0,0,Moriarty,0,0,0
MarcelDana,13.49,4.08,7,Nissimb,6.33,1.78,6
OvedBenZeev,0,0,0,bardak65,0,0,0
Emergi,0,0,0,sasha_er,0,0,0
Bye,0,0,7,hmualem,0,0,0
Rahamimeli,0,0,0,Efi,0,0,0
GS18671,0,0,0,UziMutsafy,0,0,0
fridlich,0,0,0,Avshalom,0,0,0
mirob,0,0,0,Tezka11,0,0,0
Hummus,0,0,0,ys,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,gidio,0,0,0
YossiEliezer23,0,0,0,nadavd,0,0,0
Aviv,0,0,0,YKwin,0,0,0
MarcelDana,11.41,-2.52,2,GuyEliyahu,3.09,-1.04,7
OvedBenZeev,0,0,0,Moriarty,0,0,0
Emergi,0,0,0,Nissimb,0,0,0
Bye,0,0,7,bardak65,0,0,0
Rahamimeli,0,0,0,sasha_er,0,0,0
GS18671,0,0,0,hmualem,0,0,0
fridlich,0,0,0,Efi,0,0,0
mirob,12.45,2.53,5,UziMutsafy,8.45,2.1,7
Hummus,0,0,0,Avshalom,0,0,0
ys,3.36,0.13,7,Tezka11,10.71,-1.63,5
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,0,YossiEliezer23,0,0,0
Aviv,0,0,0,gidio,0,0,0
MarcelDana,0,0,0,nadavd,0,0,0
OvedBenZeev,0,0,0,YKwin,0,0,0
Emergi,0,0,0,GuyEliyahu,0,0,0
Bye,0,0,7,Moriarty,0,0,0
Rahamimeli,0,0,0,Nissimb,0,0,0
